Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Population,Revenue_Per_Month,Charge_Evolution,Refund_Rate,Has_Been_Refunded,Billing_Complexity,Services_Count,Streaming_Count,Security_Score,Full_Protection_Score,Support_Profile,Service_Diversity_Score,Referral_Rate,Heavy_Internet_User,Internet_Value,Contract_Encoded,Engagement_Score,Contract_Risk,Contract_Tenure_Mismatch,Locked_Value,Tenure_Segment,Vulnerable_Senior,Family_Profile,Digital_Profile,High_Value_At_Risk,NPS_Label
Female,26,Yes,No,No,Yes,2,Magalia,No,0,46,No Offer,Yes,17.51,No,Yes,Fiber Optic,85,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.8,4391.25,0.0,0,805.46,5196.71,5,No,11168,112.97195652173913,-13.171956521739133,0.0,0,1,6,3,2,2,0,6,0.0,1,255.0,0,0,0,1,0,2,0,0,1,0,2
Female,56,No,No,No,Yes,1,Hercules,No,0,2,No Offer,Yes,5.3,Yes,Yes,Fiber Optic,11,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,80.55,188.1,0.0,0,10.6,198.7,4,No,22479,99.35,-18.799999999999997,0.0,0,1,3,0,1,1,0,3,0.0,0,33.0,0,0,1,0,0,0,0,0,0,0,1
Male,53,No,No,No,No,0,Modesto,No,0,4,No Offer,Yes,3.03,No,Yes,DSL,11,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.75,226.2,0.0,0,12.12,238.32,5,No,27135,59.58,4.170000000000002,0.0,0,1,4,1,2,2,0,4,0.0,0,11.0,0,0,1,0,0,0,0,0,1,0,2
Male,57,No,No,No,No,0,Randsburg,No,0,26,Offer C,Yes,13.34,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0.0,0,346.84,858.0899999999999,5,No,117,33.003461538461536,-12.703461538461536,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,2,0,0,0,0,2
Male,27,Yes,No,No,No,0,Rio Nido,No,0,40,No Offer,Yes,27.47,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.6,973.95,0.0,0,1098.8,2072.75,5,No,298,51.81875,-27.21875,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,2,80,0,0,2,2,0,0,0,0,2
Female,66,No,Yes,No,No,0,Isleton,No,0,72,No Offer,Yes,31.31,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,107.4,7748.75,0.0,0,2254.3199999999997,10003.07,4,No,2010,138.93152777777777,-31.531527777777768,0.0,0,1,8,2,4,4,1,8,0.0,0,54.0,2,144,0,0,16,3,0,0,1,0,1
Male,65,No,Yes,No,No,0,Lewiston,No,0,8,Offer E,No,0.0,No,Yes,DSL,4,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,29.4,221.9,0.0,0,0.0,221.9,1,Yes,1845,27.7375,1.6624999999999979,0.0,0,0,2,0,1,1,0,2,0.0,0,4.0,0,0,1,0,0,0,1,0,1,1,0
Male,25,Yes,No,Yes,Yes,1,Soulsbyville,Yes,1,44,No Offer,No,0.0,No,Yes,DSL,69,No,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,54.3,2317.1,0.0,10,0.0,2327.1,5,No,1519,52.88863636363636,1.4113636363636388,0.0,0,1,5,3,2,2,1,5,0.022727272727272728,1,69.0,1,44,0,0,5,2,0,1,1,0,2
Female,42,No,No,No,No,0,Stanford,No,0,69,Offer A,Yes,18.47,Yes,Yes,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0.0,0,1274.4299999999998,7171.83,3,No,13386,103.9395652173913,-18.58956521739131,0.0,0,1,8,3,3,3,1,8,0.0,1,28.0,2,138,0,0,16,3,0,0,0,0,0
Male,62,No,No,Yes,Yes,3,Visalia,Yes,2,45,No Offer,Yes,7.48,Yes,Yes,Fiber Optic,27,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.75,4900.65,0.0,0,336.6,5237.25,3,No,30395,116.38333333333334,-6.63333333333334,0.0,0,1,8,3,3,3,1,8,0.044444444444444446,0,81.0,2,90,0,0,16,2,0,1,1,0,0
Female,36,No,No,No,No,0,Oakland,No,0,64,Offer B,Yes,15.93,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,24.4,1601.2,0.0,0,1019.52,2620.7200000000003,5,No,21097,40.948750000000004,-16.548750000000005,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,1,64,0,0,1,3,0,0,0,0,2
Male,59,No,No,Yes,No,0,Santa Cruz,Yes,3,46,No Offer,Yes,16.07,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.6,851.2,0.0,0,739.22,1590.42,5,No,4563,34.57434782608696,-14.974347826086955,0.0,0,1,0,0,0,0,0,0,0.06521739130434782,0,0.0,0,0,0,1,0,2,0,0,0,0,2
Female,80,No,Yes,No,No,0,Glendora,No,0,3,No Offer,No,0.0,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.3,77.75,0.0,0,0.0,77.75,3,Yes,25135,25.916666666666668,-0.6166666666666671,0.0,0,0,1,0,0,0,0,1,0.0,1,30.0,0,0,1,0,0,0,1,0,0,0,0
Male,23,Yes,No,Yes,No,0,San Francisco,Yes,1,60,Offer B,Yes,16.42,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,24.15,1505.9,0.0,0,985.2,2491.1000000000004,3,No,42476,41.51833333333334,-17.36833333333334,0.0,0,1,1,0,0,0,0,1,0.016666666666666666,0,0.0,1,60,0,0,1,3,0,0,0,0,0
Male,59,No,No,No,No,0,Norwalk,No,0,27,No Offer,Yes,18.51,No,Yes,DSL,9,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,50.35,1411.35,0.0,150,499.77000000000004,2061.12,3,No,103214,76.33777777777777,-25.987777777777772,0.0,0,2,1,0,1,1,0,1,0.0,0,9.0,0,0,0,1,0,2,0,0,0,0,0
Male,58,No,No,No,No,0,Callahan,No,0,1,Offer E,Yes,44.75,No,Yes,Cable,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0.0,0,44.75,90.6,2,Yes,290,90.6,-44.74999999999999,0.0,0,1,1,0,0,0,0,1,0.0,0,24.0,0,0,1,0,0,0,0,0,0,1,0
Female,46,No,No,No,No,0,Tulelake,No,0,5,Offer E,No,0.0,No,Yes,Cable,26,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,50.95,229.4,0.0,0,0.0,229.4,5,No,2595,45.88,5.07,0.0,0,0,5,3,1,1,0,5,0.0,0,52.0,0,0,1,0,0,0,0,0,0,0,2
Female,26,Yes,No,Yes,No,0,Laytonville,Yes,2,71,No Offer,Yes,39.44,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.1,1372.45,0.0,0,2800.24,4172.69,4,No,2706,58.77028169014084,-39.67028169014084,0.0,0,1,0,0,0,0,0,0,0.028169014084507043,0,0.0,2,142,0,0,0,3,0,0,0,0,1
Male,40,No,No,Yes,Yes,3,Claremont,Yes,1,59,Offer B,Yes,46.1,Yes,Yes,Fiber Optic,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.1,6555.2,0.0,0,2719.9,9275.1,4,No,34716,157.20508474576272,-46.105084745762724,0.0,0,1,8,3,3,3,0,8,0.01694915254237288,1,171.0,2,118,0,0,16,3,0,1,0,0,1
Male,28,Yes,No,No,Yes,3,Granada Hills,No,0,8,No Offer,Yes,1.95,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.45,159.2,0.0,0,15.6,174.79999999999998,5,No,48867,21.849999999999998,-2.3999999999999986,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,2
Female,36,No,No,Yes,Yes,2,Encinitas,Yes,5,56,Offer B,Yes,13.94,Yes,Yes,Fiber Optic,11,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.6,5953.0,0.0,0,780.64,6733.64,3,No,47126,120.24357142857143,-10.643571428571434,0.0,0,1,8,3,3,3,1,8,0.08928571428571429,0,33.0,0,0,0,1,0,3,0,1,0,0,0
Male,46,No,No,Yes,No,0,New Cuyama,Yes,8,63,No Offer,Yes,3.18,No,Yes,Fiber Optic,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.1,6705.7,0.0,0,200.34,6906.04,3,No,798,109.61968253968254,0.48031746031745115,0.0,0,1,8,3,4,4,1,8,0.12698412698412698,0,45.0,2,126,0,0,16,3,0,0,0,0,0
Female,56,No,No,Yes,No,0,Surfside,Yes,5,65,No Offer,Yes,13.2,Yes,Yes,Fiber Optic,13,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,99.05,6416.7,0.0,0,858.0,7274.7,3,No,174,111.91846153846154,-12.868461538461546,0.0,0,1,6,1,3,3,0,6,0.07692307692307693,0,39.0,2,130,0,0,12,3,0,0,0,0,0
Female,61,No,No,No,No,0,Glendale,No,0,18,No Offer,Yes,19.93,No,Yes,Fiber Optic,26,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,77.8,1358.6,29.76,0,358.74,1687.58,5,No,23981,93.75444444444445,-15.954444444444448,0.017634719539221844,1,2,3,0,2,2,0,3,0.0,0,78.0,0,0,0,0,0,1,0,0,0,0,2
Male,40,No,No,Yes,Yes,2,Los Angeles,Yes,7,66,No Offer,Yes,39.45,No,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.15,7031.3,0.0,0,2603.7000000000003,9635.0,4,No,3012,145.9848484848485,-42.83484848484849,0.0,0,1,7,3,3,3,0,7,0.10606060606060606,0,57.0,1,66,0,0,7,3,0,1,1,0,1
Female,60,No,No,Yes,No,0,Chula Vista,Yes,10,12,Offer D,Yes,40.34,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,20.05,264.55,0.0,0,484.08000000000004,748.6300000000001,4,No,74025,62.385833333333345,-42.33583333333334,0.0,0,1,0,0,0,0,0,0,0.8333333333333334,0,0.0,2,24,0,0,0,0,0,0,0,0,1
Male,31,No,No,No,No,0,Sacramento,No,0,4,No Offer,Yes,20.16,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.0,78.9,0.0,0,80.64,159.54000000000002,4,No,23362,39.885000000000005,-20.885000000000005,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1
Male,46,No,No,No,No,0,Sacramento,No,0,41,No Offer,Yes,36.76,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.15,802.35,29.95,0,1507.1599999999999,2279.56,3,No,31373,55.5990243902439,-35.4490243902439,0.01313850041236028,1,2,0,0,0,0,0,0,0.0,0,0.0,2,82,0,0,0,2,0,0,0,0,0
Female,76,No,Yes,No,No,0,Bloomington,No,0,49,No Offer,Yes,24.84,Yes,Yes,Fiber Optic,14,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,101.55,5070.4,0.0,0,1217.16,6287.5599999999995,3,No,25995,128.31755102040816,-26.767551020408163,0.0,0,1,6,3,1,1,0,6,0.0,0,42.0,1,49,0,0,6,3,1,0,0,0,0
Male,36,No,No,Yes,No,0,Los Angeles,Yes,9,72,No Offer,Yes,10.92,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.25,6369.45,0.0,0,786.24,7155.69,3,No,38415,99.38458333333332,-9.134583333333325,0.0,0,1,9,3,4,4,1,9,0.125,1,28.0,2,144,0,0,18,3,0,0,0,0,0
Female,28,Yes,No,No,No,0,Smartville,No,0,18,No Offer,No,0.0,No,Yes,DSL,48,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,40.2,711.95,0.0,90,0.0,801.95,4,No,963,44.55277777777778,-4.352777777777774,0.0,0,1,3,0,3,3,0,3,0.0,1,48.0,1,18,0,0,3,1,0,0,0,0,1
Female,58,No,No,Yes,No,0,Antelope,No,0,5,No Offer,Yes,18.65,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,3,No,36432,88.95,-20.0,0.0,0,1,1,0,0,0,0,1,0.0,0,30.0,0,0,1,0,0,0,0,0,1,1,0
Male,73,No,Yes,Yes,No,0,Witter Springs,Yes,2,69,No Offer,Yes,8.3,Yes,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Mailed Check,110.55,7610.1,0.0,0,572.7,8182.8,3,No,240,118.5913043478261,-8.041304347826099,0.0,0,1,7,2,3,3,1,7,0.028985507246376812,0,42.0,1,69,0,0,7,3,0,0,0,0,0
Male,32,No,No,No,No,0,Santa Barbara,No,0,4,No Offer,Yes,49.14,No,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.45,370.65,0.0,0,196.56,567.21,3,Yes,15757,141.8025,-53.352500000000006,0.0,0,1,4,3,0,0,0,4,0.0,0,45.0,0,0,1,0,0,0,0,0,1,0,0
Female,50,No,No,Yes,No,0,Aguanga,Yes,1,70,Offer A,Yes,29.72,Yes,Yes,DSL,12,Yes,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,65.2,4543.15,0.0,0,2080.4,6623.549999999999,3,No,2433,94.62214285714285,-29.422142857142845,0.0,0,1,5,2,1,1,0,5,0.014285714285714285,0,12.0,1,70,0,0,5,3,0,0,0,0,0
Male,47,No,No,Yes,No,0,Daly City,Yes,1,20,No Offer,Yes,16.49,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.45,1470.95,0.0,0,329.79999999999995,1800.75,1,Yes,47453,90.0375,-19.58749999999999,0.0,0,1,1,0,0,0,0,1,0.05,0,24.0,0,0,0,0,0,1,0,0,1,0,0
Female,57,No,No,Yes,Yes,1,Pomona,Yes,3,32,No Offer,No,0.0,No,Yes,Cable,14,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,35.15,1051.05,0.0,0,0.0,1051.05,4,No,46626,32.8453125,2.3046875,0.0,0,0,3,0,2,2,0,3,0.09375,0,28.0,0,0,0,1,0,2,0,1,1,0,1
Male,26,Yes,No,No,No,0,Woodland,No,0,20,No Offer,Yes,23.22,Yes,Yes,Fiber Optic,59,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,98.55,2031.95,0.0,0,464.4,2496.35,3,No,15022,124.8175,-26.2675,0.0,0,1,6,3,1,1,0,6,0.0,1,177.0,0,0,0,0,0,1,0,0,0,0,0
Male,42,No,No,Yes,Yes,3,Hoopa,Yes,1,32,No Offer,Yes,43.37,No,Yes,Fiber Optic,76,Yes,Yes,Yes,No,No,Yes,Yes,No,One Year,No,Credit Card,94.8,3131.55,0.0,40,1387.84,4559.39,4,No,3041,142.4809375,-47.68093750000001,0.0,0,2,5,2,3,3,0,5,0.03125,1,228.0,1,32,0,0,5,2,0,1,0,0,1
Male,25,Yes,No,No,No,0,Reseda,No,0,72,Offer A,Yes,29.29,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.75,1777.6,0.0,0,2108.88,3886.48,5,No,68018,53.97888888888889,-29.22888888888889,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,2,144,0,0,2,3,0,0,0,0,2
Male,50,No,No,No,No,0,La Habra,No,0,1,No Offer,Yes,22.86,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.8,69.8,0.0,10,22.86,102.66,2,Yes,67354,102.66,-32.86,0.0,0,2,0,0,0,0,0,0,0.0,0,75.0,0,0,1,0,0,0,0,0,1,0,0
Male,48,No,No,Yes,No,0,San Dimas,Yes,1,35,Offer C,Yes,48.47,Yes,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,2576.2,0.0,0,1696.45,4272.65,2,Yes,33878,122.07571428571427,-46.87571428571427,0.0,0,1,2,0,0,0,0,2,0.02857142857142857,0,36.0,0,0,0,1,0,2,0,0,1,0,0
Female,53,No,No,No,No,0,Big Bar,No,0,60,Offer B,Yes,31.12,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.85,1128.1,0.0,0,1867.2,2995.3,4,No,269,49.92166666666667,-30.071666666666665,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,2,120,0,0,0,3,0,0,0,0,1
Female,56,No,No,Yes,No,0,Rodeo,Yes,9,56,Offer B,Yes,4.24,No,Yes,Fiber Optic,15,Yes,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,80.3,4513.65,0.0,0,237.44,4751.089999999999,3,No,8506,84.84089285714285,-4.54089285714285,0.0,0,1,3,0,2,2,0,3,0.16071428571428573,0,45.0,2,112,0,0,6,3,0,0,0,0,0
Male,31,No,No,Yes,Yes,1,Arcadia,Yes,10,31,No Offer,Yes,9.56,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.65,702.05,43.76,0,296.36,954.65,4,No,30933,30.79516129032258,-10.14516129032258,0.04583878908500497,1,2,0,0,0,0,0,0,0.3225806451612903,0,0.0,0,0,0,1,0,2,0,1,0,0,1
Male,22,Yes,No,No,No,0,Bakersfield,No,0,65,Offer B,Yes,20.43,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1725.0,0.0,0,1327.95,3052.95,4,No,44588,46.96846153846153,-21.86846153846153,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,2,130,0,0,2,3,0,0,0,0,1
Female,41,No,No,Yes,No,0,Ontario,Yes,8,64,Offer B,Yes,19.98,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.45,1208.6,0.0,0,1278.72,2487.3199999999997,3,No,56280,38.864374999999995,-19.414374999999996,0.0,0,1,0,0,0,0,0,0,0.125,0,0.0,2,128,0,0,0,3,0,0,0,0,0
Female,74,No,Yes,No,No,0,Yermo,No,0,20,Offer D,Yes,23.18,No,Yes,Fiber Optic,21,No,No,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,81.45,1671.6,0.0,0,463.6,2135.2,5,No,1195,106.75999999999999,-25.309999999999988,0.0,0,1,3,2,0,0,0,3,0.0,0,63.0,1,20,0,0,3,1,1,0,1,0,2
Male,38,No,No,No,No,0,Riverdale,No,0,5,Offer E,Yes,13.96,No,Yes,DSL,5,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,63.95,318.1,0.0,0,69.80000000000001,387.90000000000003,4,No,5729,77.58000000000001,-13.63000000000001,0.0,0,1,4,1,2,2,1,4,0.0,0,5.0,0,0,1,0,0,0,0,0,0,0,1
Male,29,Yes,No,No,No,0,Windsor,No,0,4,No Offer,Yes,46.53,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.2,55.7,0.0,0,186.12,241.82,3,No,23701,60.455,-40.254999999999995,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
Female,33,No,No,Yes,No,0,Nipomo,Yes,1,72,No Offer,Yes,46.23,Yes,Yes,Fiber Optic,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45,7982.5,0.0,0,3328.56,11311.06,4,No,15405,157.09805555555556,-46.64805555555556,0.0,0,1,8,3,3,3,1,8,0.013888888888888888,0,54.0,2,144,0,0,16,3,0,0,1,0,1
Female,70,No,Yes,No,No,0,Sacramento,No,0,1,No Offer,Yes,22.92,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.45,19.45,0.0,0,22.92,42.370000000000005,1,Yes,15975,42.370000000000005,-22.920000000000005,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,0,0,0
Male,25,Yes,No,Yes,No,0,Santa Rosa,Yes,1,1,No Offer,Yes,43.67,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0.0,0,43.67,124.22,1,Yes,40270,124.22,-43.67,0.0,0,1,2,2,0,0,0,2,1.0,1,219.0,0,0,1,0,0,0,0,0,1,0,0
Female,50,No,No,Yes,Yes,1,Monterey Park,Yes,4,68,Offer A,Yes,47.91,Yes,Yes,DSL,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.05,6185.8,0.0,0,3257.8799999999997,9443.68,3,No,26933,138.87764705882353,-49.82764705882353,0.0,0,1,9,3,4,4,1,9,0.058823529411764705,0,23.0,2,136,0,0,18,3,0,1,1,0,0
Male,25,Yes,No,No,No,0,San Diego,No,0,1,No Offer,Yes,4.11,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.1,20.1,0.0,0,4.11,24.21,1,Yes,4258,24.21,-4.109999999999999,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
